,user_id,country,sex,height,weight,age,years_cl,date_first,date_last,grades_count,grades_first,grades_last,grades_max,grades_mean,year_first,year_last
5781,28660,CHE,0,187,78,34.0,11,2009-07-10 22:00:00,2011-08-08 22:00:00,26,42,46,51,41.88461538461539,2009,2011
5782,28679,ITA,0,184,68,26.0,8,2009-09-22 22:00:00,2009-09-15 22:00:00,2,28,29,29,28.5,2009,2009
5783,28683,USA,0,177,78,33.0,10,2009-09-12 22:00:00,2011-09-23 22:00:00,20,41,45,46,40.45,2009,2011
5784,28684,other,0,184,68,38.0,17,2009-07-21 22:00:00,2009-09-07 22:00:00,6,62,64,64,62.333333333333336,2009,2009
5785,28689,HRV,0,182,83,35.0,8,2009-09-14 22:00:00,2011-04-16 22:00:00,22,29,31,42,31.772727272727277,2009,2011
5786,28690,HRV,1,170,53,38.0,8,2009-09-12 22:00:00,2009-09-12 22:00:00,1,29,29,29,29.0,2009,2009
5787,28695,PRT,0,172,73,30.0,8,2009-10-24 22:00:00,2009-10-24 22:00:00,1,40,40,40,40.0,2009,2009
5788,28696,DEU,0,190,73,30.0,9,2009-10-30 23:00:00,2009-10-30 23:00:00,1,36,36,36,36.0,2009,2009
5789,28698,other,1,163,48,34.0,10,2010-07-09 22:00:00,2007-08-14 22:00:00,8,33,36,38,34.125,2010,2007
5790,28708,DEU,0,186,78,40.0,12,2009-08-20 22:00:00,2017-03-12 23:00:00,228,46,40,55,43.4078947368421,2009,2017
5791,28711,DNK,0,182,68,35.0,11,2009-08-16 22:00:00,2011-10-11 22:00:00,8,36,57,57,46.5,2009,2011
5792,28712,other,1,158,48,45.0,12,2009-08-27 22:00:00,2017-08-11 22:00:00,251,48,52,62,44.16733067729084,2009,2017
5793,28728,AUS,1,165,63,37.0,14,2009-09-12 22:00:00,2009-09-09 22:00:00,3,45,46,46,45.66666666666666,2009,2009
5794,28729,RUS,0,173,58,28.0,10,2010-05-03 22:00:00,2017-06-19 22:00:00,145,44,44,62,44.82758620689656,2010,2017
5795,28732,ZAF,0,177,73,40.0,16,2008-06-04 22:00:00,2010-01-06 23:00:00,10,44,49,49,42.5,2008,2010
5796,28736,MEX,0,182,78,35.0,14,2009-05-03 22:00:00,2011-10-31 23:00:00,37,55,49,59,53.45945945945946,2009,2011
5797,28742,ITA,0,175,68,32.0,8,2009-09-18 22:00:00,2009-10-10 22:00:00,10,36,29,36,32.9,2009,2009
5798,28746,ESP,0,171,68,36.0,12,2009-09-15 22:00:00,2012-08-17 22:00:00,113,57,59,62,50.38053097345133,2009,2012
5799,28753,DEU,0,188,73,29.0,8,2009-09-27 22:00:00,2011-09-23 22:00:00,9,42,57,57,43.888888888888886,2009,2011
5800,28756,POL,0,180,68,35.0,8,2009-08-24 22:00:00,2017-08-30 22:00:00,453,40,40,57,41.47461368653422,2009,2017
