,name_id,name,grade_mean,cluster,coord,lat,lon,pais
213,512,strawberry blonde,51.16666666666666,2,"(30.0772635, -97.8137491)",30.0772635,-97.8137491,United States
214,517,cardinal fang,33.333333333333336,3,"(12.3614849, -1.4989565)",12.3614849,-1.4989565,Burkina Faso
215,518,empty chairs,37.5,2,"(35.472684, -97.51708203770627)",35.472684,-97.51708203770627,United States
216,521,gimme shelter,36.0,2,"(45.4503674, 4.3842939)",45.4503674,4.3842939,France
217,522,it goes,45.11111111111112,2,"(51.489062399999995, 3.875662477243594)",51.4890624,3.875662477243594,Nederland
218,525,life of riley,52.6,2,"(49.2353134, -124.1198671)",49.2353134,-124.1198671,Canada
219,528,old salt,35.0,2,"(44.2079473, -103.7489307)",44.2079473,-103.7489307,United States
220,530,pitang pitang,29.0,2,"(24.965555600000002, 121.44692887239421)",24.9655556,121.4469288723942,臺灣
221,531,poultry in motion,37.4,2,"(49.0176587, -122.7933284)",49.0176587,-122.7933284,Canada
222,534,smoko,46.0,1,"(-36.8224445, 147.06609948422712)",-36.8224445,147.06609948422712,Australia
223,538,ashes to ashes,53.0,2,"(52.6723784, -2.7735805)",52.6723784,-2.7735805,United Kingdom
224,542,exhibition wall,44.5,3,"(52.0825849, 1.5500624231975508)",52.0825849,1.5500624231975508,United Kingdom
225,543,go between,45.66666666666666,0,"(36.7909262, -121.4261968)",36.7909262,-121.4261968,United States
226,545,marooned,40.0,2,"(41.687840550000004, -87.59549037624495)",41.68784055,-87.59549037624495,United States
227,546,master plan,49.0,2,"(36.3997551, -94.2031632)",36.3997551,-94.2031632,United States
228,547,mezzaluna,29.88888888888889,2,"(45.652512, 10.2412463)",45.652512,10.2412463,Italia
229,549,noodle,29.0,2,"(32.60234, -100.0520431)",32.60234,-100.0520431,United States
230,550,royal doulton,49.0,2,"(53.044976399999996, -2.1924362041878087)",53.0449764,-2.1924362041878087,United Kingdom
231,551,angry beaver,42.285714285714285,2,"(14.10321, -87.196972)",14.10321,-87.196972,Honduras
232,552,bareback,48.4,1,"(46.6247949, -87.4856222)",46.6247949,-87.4856222,United States
233,558,dragons egg,49.2,2,"(40.2411598, -105.6031072)",40.2411598,-105.6031072,United States
234,559,escape velocity,51.0,2,"(38.83654305, -104.82415105674514)",38.83654305,-104.82415105674514,United States
235,563,la land,51.4375,2,"(32.0287593, -88.3283577)",32.0287593,-88.3283577,United States
236,564,lego land,47.85714285714285,2,"(54.0998709, 12.0814754)",54.0998709,12.0814754,Deutschland
237,572,rough trade,59.0,7,"(43.5020164, -79.9337581)",43.5020164,-79.9337581,Canada
238,573,sail away,55.3125,3,"(46.2489922, -93.8096774)",46.2489922,-93.8096774,United States
239,575,self portrait,61.86206896551724,2,"(51.50801975, -0.14114837115398451)",51.50801975,-0.1411483711539845,United Kingdom
240,580,sscc,51.5,1,"(39.4195385, -83.81932385909475)",39.4195385,-83.81932385909475,United States
241,585,traverse,37.66666666666666,2,"(45.7836323, -96.4215265)",45.7836323,-96.4215265,United States
242,586,vanity case,58.90909090909091,1,"(41.9125889, 14.9145506)",41.9125889,14.9145506,Italia
243,587,wipeout,53.11111111111112,2,"(39.2205314, 9.105637)",39.2205314,9.105637,Italia
244,589,adaptation,57.0,1,"(41.6879156, -70.4268062)",41.6879156,-70.4268062,United States
245,598,country special,37.0,1,"(22.2782521, 114.1724395)",22.2782521,114.1724395,中国
246,602,displaced persons,51.0,2,"(48.7712065, 9.1449647)",48.7712065,9.1449647,Deutschland
247,607,fabricator,60.5,3,"(14.668633100000001, 120.98793683955556)",14.6686331,120.98793683955556,Philippines
248,608,flaming flamingo,48.84090909090909,2,"(36.11625685, -115.14108178018452)",36.11625685,-115.14108178018452,United States
249,612,good fortune,31.73333333333333,2,"(39.3210178, -76.5740306)",39.3210178,-76.5740306,United States
250,613,grand junction,55.0,1,"(39.063956, -108.5507317)",39.063956,-108.5507317,United States
251,616,iron mike,56.84615384615385,2,"(42.1971381, -122.7154108)",42.1971381,-122.7154108,United States
252,617,jack high,36.9,2,"(50.973788150000004, 0.018769022914478156)",50.97378815,0.0187690229144781,United Kingdom
253,620,loop the loop,52.92424242424242,8,"(-27.5569916, 114.4447845)",-27.5569916,114.4447845,Australia
254,622,no u turn,50.285714285714285,2,"(13.6225662, 123.1899187)",13.6225662,123.1899187,Philippines
255,628,sexi mexi,48.75862068965517,2,"(39.1837509, -78.1648886)",39.1837509,-78.1648886,United States
256,636,truckstop,68.66666666666667,2,"(48.8154515, 9.1687627)",48.8154515,9.1687627,Deutschland
257,639,weekend warrior,36.4,2,"(50.4450888, -121.5796146)",50.4450888,-121.5796146,Canada
